Date,Open,High,Low,Close,Adj Close,Volume
4/1/2010,10609.33984,10694.49023,10608.13965,10654.79004,10654.79004,104400000
5/1/2010,10719.44043,10791.04004,10655.57031,10681.83008,10681.83008,166200000
6/1/2010,10709.54981,10768.61035,10661.16992,10731.4502,10731.4502,181800000
7/1/2010,10742.75,10774,10636.66992,10681.66016,10681.66016,182600000
8/1/2010,10743.29981,10816.4502,10677.55957,10798.32031,10798.32031,211800000
12/1/2010,10770.34961,10905.38965,10763.67969,10879.13965,10879.13965,192800000
13/1/2010,10795.48047,10866.62012,10729.86035,10735.03027,10735.03027,250000000
14/1/2010,10778.07031,10909.94043,10774.25,10907.67969,10907.67969,267300000
15/1/2010,10917.41016,10982.09961,10878.83008,10982.09961,10982.09961,252900000
18/1/2010,10887.61035,10895.09961,10781.03027,10855.08008,10855.08008,186600000
19/1/2010,10866.83008,10866.83008,10749.46973,10764.90039,10764.90039,174700000
20/1/2010,10834.91016,10860.92969,10724.57031,10737.51953,10737.51953,146400000
21/1/2010,10704.79004,10886.63965,10649.83984,10868.41016,10868.41016,176900000
22/1/2010,10740.20996,10768.07031,10528.33008,10590.54981,10590.54981,187400000
25/1/2010,10478.30957,10557.63965,10414.58008,10512.69043,10512.69043,139800000
26/1/2010,10506.15039,10566.49023,10324.98047,10325.28027,10325.28027,175400000
27/1/2010,10344.07031,10373.82031,10252.08008,10252.08008,10252.08008,139500000
28/1/2010,10309.73047,10462.7002,10296.98047,10414.29004,10414.29004,168000000
29/1/2010,10308.04981,10324.37012,10198.04004,10198.04004,10198.04004,156800000
1/2/2010,10212.36035,10224.83008,10129.91016,10205.01953,10205.01953,161900000
2/2/2010,10310.98047,10396.48047,10287.74023,10371.08984,10371.08984,142000000
3/2/2010,10428.12012,10436.51953,10356.03027,10404.33008,10404.33008,154300000
4/2/2010,10434.51953,10438.41016,10279.57031,10355.98047,10355.98047,164500000
5/2/2010,10162.33984,10166.29981,10036.33008,10057.08984,10057.08984,172000000
8/2/2010,10007.46973,10063.53027,9942.049805,9951.820313,9951.820313,137400000
9/2/2010,9876.610352,9956.790039,9867.389648,9932.900391,9932.900391,135000000
10/2/2010,10024.25977,10049.87012,9963.990234,9963.990234,9963.990234,127000000
12/2/2010,10085.34961,10099.45996,10014.5,10092.19043,10092.19043,136000000
15/2/2010,10097.82031,10119.46973,10012.53027,10013.29981,10013.29981,97300000
16/2/2010,10044.53027,10062.26953,10019.42969,10034.25,10034.25,87000000
17/2/2010,10161.71973,10306.83008,10150.24023,10306.83008,10306.83008,127100000
18/2/2010,10324.98047,10340.37988,10285.04981,10335.69043,10335.69043,111800000
19/2/2010,10334.40039,10354.41992,10123.58008,10123.58008,10123.58008,129500000
22/2/2010,10302.07031,10449.75,10298.15039,10400.46973,10400.46973,115400000
